file,variable,value
pdml-1-000002pkts,xml.strict_bytealigned_exi.bz2,3389
pdml-1-000002pkts,xml.strict_bytealigned_exi.zip,3572
pdml-1-000002pkts,xml.strict_precompress_exi,9151
pdml-1-000002pkts,xml.strict_precompress_exi.gz,3088
pdml-1-000002pkts,xml.strict_precompress_exi.bz2,3200
pdml-1-000002pkts,xml.strict_precompress_exi.zip,3259
pdml-1-000002pkts,xml.strict_compress_exi,3224
pdml-1-000002pkts,xml.strict_compress_exi.gz,3285
pdml-1-000002pkts,xml.strict_compress_exi.bz2,3693
pdml-1-000002pkts,xml.strict_compress_exi.zip,3448
pdml-1-000003pkts,xml,28466
pdml-1-000003pkts,xml.gz,3633
pdml-1-000003pkts,xml.bz2,3687
pdml-1-000003pkts,xml.zip,3786
pdml-1-000003pkts,xml.bitpacked_exi,10157
pdml-1-000003pkts,xml.bitpacked_exi.gz,7574
pdml-1-000003pkts,xml.bitpacked_exi.bz2,8005
pdml-1-000003pkts,xml.bitpacked_exi.zip,7736
pdml-1-000003pkts,xml.bytealigned_exi,11482
pdml-1-000003pkts,xml.bytealigned_exi.gz,4157
pdml-1-000003pkts,xml.bytealigned_exi.bz2,4229
pdml-1-000003pkts,xml.bytealigned_exi.zip,4321
pdml-1-000003pkts,xml.precompress_exi,11448
pdml-1-000003pkts,xml.precompress_exi.gz,3683
pdml-1-000003pkts,xml.precompress_exi.bz2,3826
pdml-1-000003pkts,xml.precompress_exi.zip,3847
pdml-1-000003pkts,xml.compress_exi,3854
pdml-1-000003pkts,xml.compress_exi.gz,3908
pdml-1-000003pkts,xml.compress_exi.bz2,4327
pdml-1-000003pkts,xml.compress_exi.zip,4064
pdml-1-000003pkts,xml.schema_bitpacked_exi,9530
pdml-1-000003pkts,xml.schema_bitpacked_exi.gz,7063
pdml-1-000003pkts,xml.schema_bitpacked_exi.bz2,7399
pdml-1-000003pkts,xml.schema_bitpacked_exi.zip,7232
pdml-1-000003pkts,xml.schema_bytealigned_exi,11141
pdml-1-000003pkts,xml.schema_bytealigned_exi.gz,3824
pdml-1-000003pkts,xml.schema_bytealigned_exi.bz2,3828
pdml-1-000003pkts,xml.schema_bytealigned_exi.zip,3995
pdml-1-000003pkts,xml.schema_precompress_exi,11183
pdml-1-000003pkts,xml.schema_precompress_exi.gz,3392
pdml-1-000003pkts,xml.schema_precompress_exi.bz2,3543
pdml-1-000003pkts,xml.schema_precompress_exi.zip,3563
pdml-1-000003pkts,xml.schema_compress_exi,3542
pdml-1-000003pkts,xml.schema_compress_exi.gz,3603
pdml-1-000003pkts,xml.schema_compress_exi.bz2,4023
pdml-1-000003pkts,xml.schema_compress_exi.zip,3766
pdml-1-000003pkts,xml.strict_bitpacked_exi,9465
pdml-1-000003pkts,xml.strict_bitpacked_exi.gz,6781
pdml-1-000003pkts,xml.strict_bitpacked_exi.bz2,7194
pdml-1-000003pkts,xml.strict_bitpacked_exi.zip,6950
pdml-1-000003pkts,xml.strict_bytealigned_exi,11106
pdml-1-000003pkts,xml.strict_bytealigned_exi.gz,3817
pdml-1-000003pkts,xml.strict_bytealigned_exi.bz2,3833
pdml-1-000003pkts,xml.strict_bytealigned_exi.zip,3988
pdml-1-000003pkts,xml.strict_precompress_exi,11148
pdml-1-000003pkts,xml.strict_precompress_exi.gz,3392
pdml-1-000003pkts,xml.strict_precompress_exi.bz2,3552
pdml-1-000003pkts,xml.strict_precompress_exi.zip,3563
pdml-1-000003pkts,xml.strict_compress_exi,3542
pdml-1-000003pkts,xml.strict_compress_exi.gz,3603
pdml-1-000003pkts,xml.strict_compress_exi.bz2,4049
pdml-1-000003pkts,xml.strict_compress_exi.zip,3766
pdml-1-000004pkts,xml,37078
pdml-1-000004pkts,xml.gz,3937
pdml-1-000004pkts,xml.bz2,3953
pdml-1-000004pkts,xml.zip,4090
pdml-1-000004pkts,xml.bitpacked_exi,11816
pdml-1-000004pkts,xml.bitpacked_exi.gz,8650
pdml-1-000004pkts,xml.bitpacked_exi.bz2,9096
pdml-1-000004pkts,xml.bitpacked_exi.zip,8812
pdml-1-000004pkts,xml.bytealigned_exi,13578
pdml-1-000004pkts,xml.bytealigned_exi.gz,4385
pdml-1-000004pkts,xml.bytealigned_exi.bz2,4502
pdml-1-000004pkts,xml.bytealigned_exi.zip,4549
pdml-1-000004pkts,xml.precompress_exi,13569
pdml-1-000004pkts,xml.precompress_exi.gz,3889
pdml-1-000004pkts,xml.precompress_exi.bz2,4103
pdml-1-000004pkts,xml.precompress_exi.zip,4053
pdml-1-000004pkts,xml.compress_exi,4056
pdml-1-000004pkts,xml.compress_exi.gz,4110
pdml-1-000004pkts,xml.compress_exi.bz2,4541
pdml-1-000004pkts,xml.compress_exi.zip,4266
pdml-1-000004pkts,xml.schema_bitpacked_exi,11034
pdml-1-000004pkts,xml.schema_bitpacked_exi.gz,8021
pdml-1-000004pkts,xml.schema_bitpacked_exi.bz2,8373
pdml-1-000004pkts,xml.schema_bitpacked_exi.zip,8190
pdml-1-000004pkts,xml.schema_bytealigned_exi,13137
pdml-1-000004pkts,xml.schema_bytealigned_exi.gz,4046
pdml-1-000004pkts,xml.schema_bytealigned_exi.bz2,4108
pdml-1-000004pkts,xml.schema_bytealigned_exi.zip,4217
pdml-1-000004pkts,xml.schema_precompress_exi,13182
pdml-1-000004pkts,xml.schema_precompress_exi.gz,3587
pdml-1-000004pkts,xml.schema_precompress_exi.bz2,3820
pdml-1-000004pkts,xml.schema_precompress_exi.zip,3758
pdml-1-000004pkts,xml.schema_compress_exi,3736
pdml-1-000004pkts,xml.schema_compress_exi.gz,3797
pdml-1-000004pkts,xml.schema_compress_exi.bz2,4223
pdml-1-000004pkts,xml.schema_compress_exi.zip,3960
pdml-1-000004pkts,xml.strict_bitpacked_exi,10950
pdml-1-000004pkts,xml.strict_bitpacked_exi.gz,7640
pdml-1-000004pkts,xml.strict_bitpacked_exi.bz2,8072
pdml-1-000004pkts,xml.strict_bitpacked_exi.zip,7809
pdml-1-000004pkts,xml.strict_bytealigned_exi,13092
pdml-1-000004pkts,xml.strict_bytealigned_exi.gz,4037
pdml-1-000004pkts,xml.strict_bytealigned_exi.bz2,4103
pdml-1-000004pkts,xml.strict_bytealigned_exi.zip,4208
pdml-1-000004pkts,xml.strict_precompress_exi,13137
pdml-1-000004pkts,xml.strict_precompress_exi.gz,3585
pdml-1-000004pkts,xml.strict_precompress_exi.bz2,3823
pdml-1-000004pkts,xml.strict_precompress_exi.zip,3756
pdml-1-000004pkts,xml.strict_compress_exi,3734
pdml-1-000004pkts,xml.strict_compress_exi.gz,3795
pdml-1-000004pkts,xml.strict_compress_exi.bz2,4239
pdml-1-000004pkts,xml.strict_compress_exi.zip,3958
pdml-1-000005pkts,xml,48369
pdml-1-000005pkts,xml.gz,5174
pdml-1-000005pkts,xml.bz2,4690
pdml-1-000005pkts,xml.zip,5327
pdml-1-000005pkts,xml.bitpacked_exi,14961
pdml-1-000005pkts,xml.bitpacked_exi.gz,10466
pdml-1-000005pkts,xml.bitpacked_exi.bz2,10969
pdml-1-000005pkts,xml.bitpacked_exi.zip,10628
pdml-1-000005pkts,xml.bytealigned_exi,17302
