file,variable,value
georgia,xml.schema_bytealigned_exi,216658149
georgia,xml.schema_bytealigned_exi.gz,44663084
georgia,xml.schema_bytealigned_exi.bz2,45870730
georgia,xml.schema_bytealigned_exi.zip,44877997
georgia,xml.schema_precompress_exi,216658188
georgia,xml.schema_precompress_exi.gz,36826734
georgia,xml.schema_precompress_exi.bz2,42981151
georgia,xml.schema_precompress_exi.zip,36981349
georgia,xml.schema_compress_exi,36599113
georgia,xml.schema_compress_exi.gz,34169133
georgia,xml.schema_compress_exi.bz2,34384490
georgia,xml.schema_compress_exi.zip,34175285
georgia,xml.strict_bitpacked_exi,135628260
georgia,xml.strict_bitpacked_exi.gz,62376074
georgia,xml.strict_bitpacked_exi.bz2,63113191
georgia,xml.strict_bitpacked_exi.zip,62529097
georgia,xml.strict_bytealigned_exi,198892377
georgia,xml.strict_bytealigned_exi.gz,44252991
georgia,xml.strict_bytealigned_exi.bz2,46010271
georgia,xml.strict_bytealigned_exi.zip,44467613
georgia,xml.strict_precompress_exi,198892416
georgia,xml.strict_precompress_exi.gz,36734843
georgia,xml.strict_precompress_exi.bz2,42998158
georgia,xml.strict_precompress_exi.zip,36857728
georgia,xml.strict_compress_exi,36495402
georgia,xml.strict_compress_exi.gz,34092874
georgia,xml.strict_compress_exi.bz2,34303190
georgia,xml.strict_compress_exi.zip,34097461
guatemala,xml,129389832
guatemala,xml.gz,12691482
guatemala,xml.bz2,9982373
guatemala,xml.zip,12704560
guatemala,xml.bitpacked_exi,38469421
guatemala,xml.bitpacked_exi.gz,15720197
guatemala,xml.bitpacked_exi.bz2,12826754
guatemala,xml.bitpacked_exi.zip,15808534
guatemala,xml.bytealigned_exi,46168930
guatemala,xml.bytealigned_exi.gz,10880319
guatemala,xml.bytealigned_exi.bz2,9825742
guatemala,xml.bytealigned_exi.zip,10882446
guatemala,xml.precompress_exi,46169037
guatemala,xml.precompress_exi.gz,9439797
guatemala,xml.precompress_exi.bz2,9482776
guatemala,xml.precompress_exi.zip,9482185
guatemala,xml.compress_exi,9389823
guatemala,xml.compress_exi.gz,8921782
guatemala,xml.compress_exi.bz2,9028066
guatemala,xml.compress_exi.zip,8919167
guatemala,xml.schema_bitpacked_exi,28883587
guatemala,xml.schema_bitpacked_exi.gz,13553993
guatemala,xml.schema_bitpacked_exi.bz2,14543302
guatemala,xml.schema_bitpacked_exi.zip,13574599
guatemala,xml.schema_bytealigned_exi,45374368
guatemala,xml.schema_bytealigned_exi.gz,9423626
guatemala,xml.schema_bytealigned_exi.bz2,10616184
guatemala,xml.schema_bytealigned_exi.zip,9476088
guatemala,xml.schema_precompress_exi,45374179
guatemala,xml.schema_precompress_exi.gz,7871243
guatemala,xml.schema_precompress_exi.bz2,10061936
guatemala,xml.schema_precompress_exi.zip,7904459
guatemala,xml.schema_compress_exi,7818798
guatemala,xml.schema_compress_exi.gz,7268791
guatemala,xml.schema_compress_exi.bz2,7338367
guatemala,xml.schema_compress_exi.zip,7269786
guatemala,xml.strict_bitpacked_exi,28137163
guatemala,xml.strict_bitpacked_exi.gz,13710459
guatemala,xml.strict_bitpacked_exi.bz2,14704609
guatemala,xml.strict_bitpacked_exi.zip,13736400
guatemala,xml.strict_bytealigned_exi,41580490
guatemala,xml.strict_bytealigned_exi.gz,9324512
guatemala,xml.strict_bytealigned_exi.bz2,10666417
guatemala,xml.strict_bytealigned_exi.zip,9376653
guatemala,xml.strict_precompress_exi,41580301
guatemala,xml.strict_precompress_exi.gz,7851409
guatemala,xml.strict_precompress_exi.bz2,10050576
guatemala,xml.strict_precompress_exi.zip,7882553
guatemala,xml.strict_compress_exi,7795249
guatemala,xml.strict_compress_exi.gz,7250668
guatemala,xml.strict_compress_exi.bz2,7320001
guatemala,xml.strict_compress_exi.zip,7250887
iceland,xml,388156020
iceland,xml.gz,34941326
iceland,xml.bz2,26681638
iceland,xml.zip,34963803
iceland,xml.bitpacked_exi,110262566
iceland,xml.bitpacked_exi.gz,43609711
iceland,xml.bitpacked_exi.bz2,35420723
iceland,xml.bitpacked_exi.zip,43873027
iceland,xml.bytealigned_exi,134649945
iceland,xml.bytealigned_exi.gz,29841762
iceland,xml.bytealigned_exi.bz2,26819818
iceland,xml.bytealigned_exi.zip,29844410
iceland,xml.precompress_exi,134659533
iceland,xml.precompress_exi.gz,26001791
iceland,xml.precompress_exi.bz2,25885239
iceland,xml.precompress_exi.zip,26114988
iceland,xml.compress_exi,25851143
iceland,xml.compress_exi.gz,24461795
iceland,xml.compress_exi.bz2,24851797
iceland,xml.compress_exi.zip,24457236
iceland,xml.schema_bitpacked_exi,85154268
iceland,xml.schema_bitpacked_exi.gz,34883186
iceland,xml.schema_bitpacked_exi.bz2,37010907
iceland,xml.schema_bitpacked_exi.zip,34933946
iceland,xml.schema_bytealigned_exi,134560450
iceland,xml.schema_bytealigned_exi.gz,26189981
