file,variable,value
gpx-1-170pts,json.cbor.zip,3058
gpx-1-170pts,json.eson.gz,4869
gpx-1-170pts,json.eson.bz2,5305
gpx-1-170pts,json.eson.zip,5017
gpx-1-180pts,json,19542
gpx-1-180pts,json.gz,4378
gpx-1-180pts,json.bz2,3756
gpx-1-180pts,json.zip,4526
gpx-1-180pts,json.bson,15239
gpx-1-180pts,json.cbor,12952
gpx-1-180pts,json.eson,9333
gpx-1-180pts,json.bson.gz,3470
gpx-1-180pts,json.bson.bz2,3236
gpx-1-180pts,json.bson.zip,3606
gpx-1-180pts,json.cbor.gz,3055
gpx-1-180pts,json.cbor.bz2,2901
gpx-1-180pts,json.cbor.zip,3199
gpx-1-180pts,json.eson.gz,5116
gpx-1-180pts,json.eson.bz2,5523
gpx-1-180pts,json.eson.zip,5264
gpx-1-190pts,json,20613
gpx-1-190pts,json.gz,4597
gpx-1-190pts,json.bz2,3913
gpx-1-190pts,json.zip,4745
gpx-1-190pts,json.bson,16079
gpx-1-190pts,json.cbor,13662
gpx-1-190pts,json.eson,9842
gpx-1-190pts,json.bson.gz,3766
gpx-1-190pts,json.bson.bz2,3386
gpx-1-190pts,json.bson.zip,3766
gpx-1-190pts,json.cbor.gz,3169
gpx-1-190pts,json.cbor.bz2,3003
gpx-1-190pts,json.cbor.zip,3365
gpx-1-190pts,json.eson.gz,5357
gpx-1-190pts,json.eson.bz2,5726
gpx-1-190pts,json.eson.zip,5505
gpx-1-1pts,json,314
gpx-1-1pts,json.gz,231
gpx-1-1pts,json.bz2,243
gpx-1-1pts,json.zip,377
gpx-1-1pts,json.bson,303
gpx-1-1pts,json.cbor,241
gpx-1-1pts,json.eson,195
gpx-1-1pts,json.bson.gz,248
gpx-1-1pts,json.bson.bz2,269
gpx-1-1pts,json.bson.zip,397
gpx-1-1pts,json.cbor.gz,218
gpx-1-1pts,json.cbor.bz2,248
gpx-1-1pts,json.cbor.zip,365
gpx-1-1pts,json.eson.gz,234
gpx-1-1pts,json.eson.bz2,265
gpx-1-1pts,json.eson.zip,375
gpx-1-200pts,json,21661
gpx-1-200pts,json.gz,4835
gpx-1-200pts,json.bz2,4116
gpx-1-200pts,json.zip,4983
gpx-1-200pts,json.bson,16919
gpx-1-200pts,json.cbor,14372
gpx-1-200pts,json.eson,10340
gpx-1-200pts,json.bson.gz,3948
gpx-1-200pts,json.bson.bz2,3507
gpx-1-200pts,json.bson.zip,4037
gpx-1-200pts,json.cbor.gz,3314
gpx-1-200pts,json.cbor.bz2,3151
gpx-1-200pts,json.cbor.zip,3466
gpx-1-200pts,json.eson.gz,5607
gpx-1-200pts,json.eson.bz2,5955
gpx-1-200pts,json.eson.zip,5755
gpx-1-20pts,json,2424
gpx-1-20pts,json.gz,697
gpx-1-20pts,json.bz2,740
gpx-1-20pts,json.zip,844
gpx-1-20pts,json.bson,1879
gpx-1-20pts,json.cbor,1591
gpx-1-20pts,json.eson,1199
gpx-1-20pts,json.bson.gz,642
gpx-1-20pts,json.bson.bz2,696
gpx-1-20pts,json.bson.zip,782
gpx-1-20pts,json.cbor.gz,544
gpx-1-20pts,json.cbor.bz2,602
gpx-1-20pts,json.cbor.zip,707
gpx-1-20pts,json.eson.gz,933
gpx-1-20pts,json.eson.bz2,1192
gpx-1-20pts,json.eson.zip,1080
gpx-1-210pts,json,22746
gpx-1-210pts,json.gz,5078
gpx-1-210pts,json.bz2,4277
gpx-1-210pts,json.zip,5226
gpx-1-210pts,json.bson,17759
gpx-1-210pts,json.cbor,15082
gpx-1-210pts,json.eson,10856
gpx-1-210pts,json.bson.gz,3889
gpx-1-210pts,json.bson.bz2,3713
gpx-1-210pts,json.bson.zip,3991
gpx-1-210pts,json.cbor.gz,3462
gpx-1-210pts,json.cbor.bz2,3269
gpx-1-210pts,json.cbor.zip,3642
gpx-1-210pts,json.eson.gz,5859
gpx-1-210pts,json.eson.bz2,6215
gpx-1-210pts,json.eson.zip,6007
gpx-1-220pts,json,23818
gpx-1-220pts,json.gz,5320
gpx-1-220pts,json.bz2,4420
gpx-1-220pts,json.zip,5468
gpx-1-220pts,json.bson,18599
gpx-1-220pts,json.cbor,15792
gpx-1-220pts,json.eson,11366
gpx-1-220pts,json.bson.gz,4008
gpx-1-220pts,json.bson.bz2,3770
gpx-1-220pts,json.bson.zip,4270
gpx-1-220pts,json.cbor.gz,3683
gpx-1-220pts,json.cbor.bz2,3399
gpx-1-220pts,json.cbor.zip,3840
gpx-1-220pts,json.eson.gz,6114
gpx-1-220pts,json.eson.bz2,6472
gpx-1-220pts,json.eson.zip,6262
gpx-1-230pts,json,24908
gpx-1-230pts,json.gz,5568
gpx-1-230pts,json.bz2,4610
gpx-1-230pts,json.zip,5716
gpx-1-230pts,json.bson,19439
gpx-1-230pts,json.cbor,16502
gpx-1-230pts,json.eson,11879
gpx-1-230pts,json.bson.gz,4233
gpx-1-230pts,json.bson.bz2,4026
gpx-1-230pts,json.bson.zip,4651
gpx-1-230pts,json.cbor.gz,3873
gpx-1-230pts,json.cbor.bz2,3546
gpx-1-230pts,json.cbor.zip,3953
gpx-1-230pts,json.eson.gz,6355
gpx-1-230pts,json.eson.bz2,6724
gpx-1-230pts,json.eson.zip,6503
gpx-1-240pts,json,25998
gpx-1-240pts,json.gz,5802
gpx-1-240pts,json.bz2,4791
gpx-1-240pts,json.zip,5950
gpx-1-240pts,json.bson,20279
gpx-1-240pts,json.cbor,17212
gpx-1-240pts,json.eson,12393
gpx-1-240pts,json.bson.gz,4299
gpx-1-240pts,json.bson.bz2,4089
gpx-1-240pts,json.bson.zip,4721
gpx-1-240pts,json.cbor.gz,3964
gpx-1-240pts,json.cbor.bz2,3697
gpx-1-240pts,json.cbor.zip,4107
gpx-1-240pts,json.eson.gz,6601
gpx-1-240pts,json.eson.bz2,6931
gpx-1-240pts,json.eson.zip,6749
gpx-1-250pts,json,27076
gpx-1-250pts,json.gz,6050
gpx-1-250pts,json.bz2,5015
gpx-1-250pts,json.zip,6198
gpx-1-250pts,json.bson,21119
gpx-1-250pts,json.cbor,17922
gpx-1-250pts,json.eson,12909
gpx-1-250pts,json.bson.gz,4772
gpx-1-250pts,json.bson.bz2,4310
gpx-1-250pts,json.bson.zip,4616
gpx-1-250pts,json.cbor.gz,4201
gpx-1-250pts,json.cbor.bz2,3810
gpx-1-250pts,json.cbor.zip,4336
gpx-1-250pts,json.eson.gz,6898
gpx-1-250pts,json.eson.bz2,7222
gpx-1-250pts,json.eson.zip,7046
gpx-1-260pts,json,28157
gpx-1-260pts,json.gz,6289
gpx-1-260pts,json.bz2,5208
gpx-1-260pts,json.zip,6437
gpx-1-260pts,json.bson,21959
gpx-1-260pts,json.cbor,18633
gpx-1-260pts,json.eson,13428
gpx-1-260pts,json.bson.gz,4709
gpx-1-260pts,json.bson.bz2,4401
gpx-1-260pts,json.bson.zip,4943
gpx-1-260pts,json.cbor.gz,4270
gpx-1-260pts,json.cbor.bz2,3963
gpx-1-260pts,json.cbor.zip,4468
gpx-1-260pts,json.eson.gz,7166
gpx-1-260pts,json.eson.bz2,7496
gpx-1-260pts,json.eson.zip,7314
gpx-1-270pts,json,29250
gpx-1-270pts,json.gz,6528
gpx-1-270pts,json.bz2,5406
gpx-1-270pts,json.zip,6676
gpx-1-270pts,json.bson,22799
gpx-1-270pts,json.cbor,19343
gpx-1-270pts,json.eson,13952
gpx-1-270pts,json.bson.gz,5227
gpx-1-270pts,json.bson.bz2,4519
gpx-1-270pts,json.bson.zip,4935
gpx-1-270pts,json.cbor.gz,4455
gpx-1-270pts,json.cbor.bz2,4063
gpx-1-270pts,json.cbor.zip,4610
gpx-1-270pts,json.eson.gz,7423
gpx-1-270pts,json.eson.bz2,7777
gpx-1-270pts,json.eson.zip,7571
gpx-1-280pts,json,30316
gpx-1-280pts,json.gz,6749
gpx-1-280pts,json.bz2,5594
gpx-1-280pts,json.zip,6897
gpx-1-280pts,json.bson,23639
gpx-1-280pts,json.cbor,20053
gpx-1-280pts,json.eson,14466
gpx-1-280pts,json.bson.gz,5389
gpx-1-280pts,json.bson.bz2,4654
gpx-1-280pts,json.bson.zip,5271
gpx-1-280pts,json.cbor.gz,4665
gpx-1-280pts,json.cbor.bz2,4206
gpx-1-280pts,json.cbor.zip,4797
gpx-1-280pts,json.eson.gz,7683
gpx-1-280pts,json.eson.bz2,8089
gpx-1-280pts,json.eson.zip,7831
gpx-1-290pts,json,31374
gpx-1-290pts,json.gz,6990
gpx-1-290pts,json.bz2,5768
gpx-1-290pts,json.zip,7138
gpx-1-290pts,json.bson,24479
gpx-1-290pts,json.cbor,20763
gpx-1-290pts,json.eson,14973
gpx-1-290pts,json.bson.gz,5424
gpx-1-290pts,json.bson.bz2,4818
gpx-1-290pts,json.bson.zip,5359
gpx-1-290pts,json.cbor.gz,4753
gpx-1-290pts,json.cbor.bz2,4307
gpx-1-290pts,json.cbor.zip,4926
gpx-1-290pts,json.eson.gz,7936
gpx-1-290pts,json.eson.bz2,8323
gpx-1-290pts,json.eson.zip,8084
gpx-1-2pts,json,426
gpx-1-2pts,json.gz,258
gpx-1-2pts,json.bz2,285
gpx-1-2pts,json.zip,404
gpx-1-2pts,json.bson,393
gpx-1-2pts,json.cbor,313
gpx-1-2pts,json.eson,248
gpx-1-2pts,json.bson.gz,276
gpx-1-2pts,json.bson.bz2,313
gpx-1-2pts,json.bson.zip,425
gpx-1-2pts,json.cbor.gz,237
gpx-1-2pts,json.cbor.bz2,265
gpx-1-2pts,json.cbor.zip,384
gpx-1-2pts,json.eson.gz,287
gpx-1-2pts,json.eson.bz2,370
gpx-1-2pts,json.eson.zip,428
gpx-1-300pts,json,32452
gpx-1-300pts,json.gz,7233
gpx-1-300pts,json.bz2,5950
gpx-1-300pts,json.zip,7381
gpx-1-300pts,json.bson,25319
gpx-1-300pts,json.cbor,21473
gpx-1-300pts,json.eson,15484
gpx-1-300pts,json.bson.gz,5493
gpx-1-300pts,json.bson.bz2,4962
gpx-1-300pts,json.bson.zip,5754
gpx-1-300pts,json.cbor.gz,4964
gpx-1-300pts,json.cbor.bz2,4436
gpx-1-300pts,json.cbor.zip,5141
gpx-1-300pts,json.eson.gz,8200
gpx-1-300pts,json.eson.bz2,8542
gpx-1-300pts,json.eson.zip,8348
gpx-1-30pts,json,3480
gpx-1-30pts,json.gz,931
gpx-1-30pts,json.bz2,941
gpx-1-30pts,json.zip,1078
gpx-1-30pts,json.bson,2709
gpx-1-30pts,json.cbor,2302
gpx-1-30pts,json.eson,1702
gpx-1-30pts,json.bson.gz,822
gpx-1-30pts,json.bson.bz2,921
gpx-1-30pts,json.bson.zip,971
gpx-1-30pts,json.cbor.gz,727
gpx-1-30pts,json.cbor.bz2,777
gpx-1-30pts,json.cbor.zip,884
gpx-1-30pts,json.eson.gz,1210
gpx-1-30pts,json.eson.bz2,1504
gpx-1-30pts,json.eson.zip,1357
gpx-1-310pts,json,33532
gpx-1-310pts,json.gz,7467
gpx-1-310pts,json.bz2,6111
gpx-1-310pts,json.zip,7615
gpx-1-310pts,json.bson,26159
gpx-1-310pts,json.cbor,22183
gpx-1-310pts,json.eson,15990
gpx-1-310pts,json.bson.gz,5835
gpx-1-310pts,json.bson.bz2,5096
gpx-1-310pts,json.bson.zip,5600
gpx-1-310pts,json.cbor.gz,5149
gpx-1-310pts,json.cbor.bz2,4551
gpx-1-310pts,json.cbor.zip,5228
gpx-1-310pts,json.eson.gz,8442
gpx-1-310pts,json.eson.bz2,8725
gpx-1-310pts,json.eson.zip,8590
gpx-1-320pts,json,34627
gpx-1-320pts,json.gz,7689
gpx-1-320pts,json.bz2,6297
gpx-1-320pts,json.zip,7837
gpx-1-320pts,json.bson,26999
gpx-1-320pts,json.cbor,22893
gpx-1-320pts,json.eson,16504
gpx-1-320pts,json.bson.gz,5688
gpx-1-320pts,json.bson.bz2,5251
gpx-1-320pts,json.bson.zip,5766
gpx-1-320pts,json.cbor.gz,5304
gpx-1-320pts,json.cbor.bz2,4658
gpx-1-320pts,json.cbor.zip,5420
gpx-1-320pts,json.eson.gz,8686
gpx-1-320pts,json.eson.bz2,8978
gpx-1-320pts,json.eson.zip,8834
gpx-1-330pts,json,35700
gpx-1-330pts,json.gz,7915
gpx-1-330pts,json.bz2,6436
gpx-1-330pts,json.zip,8063
gpx-1-330pts,json.bson,27839
gpx-1-330pts,json.cbor,23603
gpx-1-330pts,json.eson,17010
gpx-1-330pts,json.bson.gz,5966
gpx-1-330pts,json.bson.bz2,5348
gpx-1-330pts,json.bson.zip,6317
gpx-1-330pts,json.cbor.gz,5446
gpx-1-330pts,json.cbor.bz2,4811
gpx-1-330pts,json.cbor.zip,5588
gpx-1-330pts,json.eson.gz,8934
gpx-1-330pts,json.eson.bz2,9229
gpx-1-330pts,json.eson.zip,9082
gpx-1-340pts,json,36791
gpx-1-340pts,json.gz,8154
gpx-1-340pts,json.bz2,6632
gpx-1-340pts,json.zip,8302
gpx-1-340pts,json.bson,28679
gpx-1-340pts,json.cbor,24313
gpx-1-340pts,json.eson,17526
gpx-1-340pts,json.bson.gz,5953
gpx-1-340pts,json.bson.bz2,5431
gpx-1-340pts,json.bson.zip,6540
gpx-1-340pts,json.cbor.gz,5572
gpx-1-340pts,json.cbor.bz2,4916
gpx-1-340pts,json.cbor.zip,5751
gpx-1-340pts,json.eson.gz,9178
gpx-1-340pts,json.eson.bz2,9449
gpx-1-340pts,json.eson.zip,9326
gpx-1-350pts,json,37875
gpx-1-350pts,json.gz,8382
gpx-1-350pts,json.bz2,6823
gpx-1-350pts,json.zip,8530
gpx-1-350pts,json.bson,29519
gpx-1-350pts,json.cbor,25023
gpx-1-350pts,json.eson,18034
gpx-1-350pts,json.bson.gz,6393
gpx-1-350pts,json.bson.bz2,5677
gpx-1-350pts,json.bson.zip,6305
gpx-1-350pts,json.cbor.gz,5767
gpx-1-350pts,json.cbor.bz2,5038
gpx-1-350pts,json.cbor.zip,5930
gpx-1-350pts,json.eson.gz,9421
gpx-1-350pts,json.eson.bz2,9680
gpx-1-350pts,json.eson.zip,9569
gpx-1-360pts,json,38954
gpx-1-360pts,json.gz,8610
gpx-1-360pts,json.bz2,6999
