file,variable,value
owm-1-170cities,json.bz2,8708
owm-1-170cities,json.zip,13122
owm-1-170cities,json.bson,111593
owm-1-170cities,json.cbor,84233
owm-1-170cities,json.eson,23651
owm-1-170cities,json.bson.gz,16364
owm-1-170cities,json.bson.bz2,11562
owm-1-170cities,json.bson.zip,16682
owm-1-170cities,json.cbor.gz,13543
owm-1-170cities,json.cbor.bz2,9885
owm-1-170cities,json.cbor.zip,13601
owm-1-170cities,json.eson.gz,14763
owm-1-170cities,json.eson.bz2,14410
owm-1-170cities,json.eson.zip,14914
owm-1-180cities,json,111428
owm-1-180cities,json.gz,13641
owm-1-180cities,json.bz2,9104
owm-1-180cities,json.zip,13818
owm-1-180cities,json.bson,118129
owm-1-180cities,json.cbor,89152
owm-1-180cities,json.eson,24999
owm-1-180cities,json.bson.gz,17160
owm-1-180cities,json.bson.bz2,11898
owm-1-180cities,json.bson.zip,17593
owm-1-180cities,json.cbor.gz,14238
owm-1-180cities,json.cbor.bz2,10343
owm-1-180cities,json.cbor.zip,14271
owm-1-180cities,json.eson.gz,15546
owm-1-180cities,json.eson.bz2,15115
owm-1-180cities,json.eson.zip,15697
owm-1-190cities,json,117633
owm-1-190cities,json.gz,14354
owm-1-190cities,json.bz2,9446
owm-1-190cities,json.zip,14569
owm-1-190cities,json.bson,124728
owm-1-190cities,json.cbor,94117
owm-1-190cities,json.eson,26338
owm-1-190cities,json.bson.gz,18195
owm-1-190cities,json.bson.bz2,12551
owm-1-190cities,json.bson.zip,18370
owm-1-190cities,json.cbor.gz,14685
owm-1-190cities,json.cbor.bz2,10791
owm-1-190cities,json.cbor.zip,14876
owm-1-190cities,json.eson.gz,16282
owm-1-190cities,json.eson.bz2,15796
owm-1-190cities,json.eson.zip,16433
owm-1-1cities,json,615
owm-1-1cities,json.gz,377
owm-1-1cities,json.bz2,386
owm-1-1cities,json.zip,526
owm-1-1cities,json.bson,648
owm-1-1cities,json.cbor,486
owm-1-1cities,json.eson,411
owm-1-1cities,json.bson.gz,464
owm-1-1cities,json.bson.bz2,474
owm-1-1cities,json.bson.zip,613
owm-1-1cities,json.cbor.gz,398
owm-1-1cities,json.cbor.bz2,429
owm-1-1cities,json.cbor.zip,545
owm-1-1cities,json.eson.gz,453
owm-1-1cities,json.eson.bz2,552
owm-1-1cities,json.eson.zip,597
owm-1-200cities,json,123811
owm-1-200cities,json.gz,15093
owm-1-200cities,json.bz2,9848
owm-1-200cities,json.zip,15320
owm-1-200cities,json.bson,131289
owm-1-200cities,json.cbor,99054
owm-1-200cities,json.eson,27717
owm-1-200cities,json.bson.gz,18810
owm-1-200cities,json.bson.bz2,12864
owm-1-200cities,json.bson.zip,19409
owm-1-200cities,json.cbor.gz,15609
owm-1-200cities,json.cbor.bz2,11198
owm-1-200cities,json.cbor.zip,15821
owm-1-200cities,json.eson.gz,17045
owm-1-200cities,json.eson.bz2,16476
owm-1-200cities,json.eson.zip,17196
owm-1-20cities,json,12384
owm-1-20cities,json.gz,2176
owm-1-20cities,json.bz2,2007
owm-1-20cities,json.zip,2326
owm-1-20cities,json.bson,13101
owm-1-20cities,json.cbor,9905
owm-1-20cities,json.eson,3325
owm-1-20cities,json.bson.gz,2861
owm-1-20cities,json.bson.bz2,2860
owm-1-20cities,json.bson.zip,3026
owm-1-20cities,json.cbor.gz,2412
owm-1-20cities,json.cbor.bz2,2469
owm-1-20cities,json.cbor.zip,2535
owm-1-20cities,json.eson.gz,2675
owm-1-20cities,json.eson.bz2,3033
owm-1-20cities,json.eson.zip,2825
owm-1-210cities,json,129970
owm-1-210cities,json.gz,15813
owm-1-210cities,json.bz2,10219
owm-1-210cities,json.zip,16034
owm-1-210cities,json.bson,137841
owm-1-210cities,json.cbor,103985
owm-1-210cities,json.eson,29078
owm-1-210cities,json.bson.gz,19766
owm-1-210cities,json.bson.bz2,13396
owm-1-210cities,json.bson.zip,20227
owm-1-210cities,json.cbor.gz,16234
owm-1-210cities,json.cbor.bz2,11782
owm-1-210cities,json.cbor.zip,16431
owm-1-210cities,json.eson.gz,17866
owm-1-210cities,json.eson.bz2,17169
owm-1-210cities,json.eson.zip,18017
owm-1-220cities,json,136187
owm-1-220cities,json.gz,16513
owm-1-220cities,json.bz2,10635
owm-1-220cities,json.zip,16734
owm-1-220cities,json.bson,144448
owm-1-220cities,json.cbor,108966
owm-1-220cities,json.eson,30483
owm-1-220cities,json.bson.gz,20993
owm-1-220cities,json.bson.bz2,13891
owm-1-220cities,json.bson.zip,21218
owm-1-220cities,json.cbor.gz,17195
owm-1-220cities,json.cbor.bz2,12134
owm-1-220cities,json.cbor.zip,17332
owm-1-220cities,json.eson.gz,18575
owm-1-220cities,json.eson.bz2,17716
owm-1-220cities,json.eson.zip,18726
owm-1-230cities,json,142417
owm-1-230cities,json.gz,17215
owm-1-230cities,json.bz2,10977
owm-1-230cities,json.zip,17440
owm-1-230cities,json.bson,151055
owm-1-230cities,json.cbor,113954
owm-1-230cities,json.eson,31823
owm-1-230cities,json.bson.gz,21700
owm-1-230cities,json.bson.bz2,14301
owm-1-230cities,json.bson.zip,21953
owm-1-230cities,json.cbor.gz,17548
owm-1-230cities,json.cbor.bz2,12590
owm-1-230cities,json.cbor.zip,18343
owm-1-230cities,json.eson.gz,19333
owm-1-230cities,json.eson.bz2,18391
owm-1-230cities,json.eson.zip,19484
owm-1-240cities,json,148629
owm-1-240cities,json.gz,17897
owm-1-240cities,json.bz2,11353
owm-1-240cities,json.zip,18120
owm-1-240cities,json.bson,157660
owm-1-240cities,json.cbor,118921
owm-1-240cities,json.eson,33226
owm-1-240cities,json.bson.gz,22676
owm-1-240cities,json.bson.bz2,14710
owm-1-240cities,json.bson.zip,23075
owm-1-240cities,json.cbor.gz,18362
owm-1-240cities,json.cbor.bz2,12909
owm-1-240cities,json.cbor.zip,18787
owm-1-240cities,json.eson.gz,20086
owm-1-240cities,json.eson.bz2,19043
owm-1-240cities,json.eson.zip,20211
owm-1-250cities,json,154756
owm-1-250cities,json.gz,18584
