file,variable,value
dfxml-03,xml.compress_exi,591
dfxml-03,xml.compress_exi.gz,636
dfxml-03,xml.compress_exi.bz2,754
dfxml-03,xml.compress_exi.zip,783
dfxml-03,xml.schema_bitpacked_exi,406
dfxml-03,xml.schema_bitpacked_exi.gz,429
dfxml-03,xml.schema_bitpacked_exi.bz2,519
dfxml-03,xml.schema_bitpacked_exi.zip,589
dfxml-03,xml.schema_bytealigned_exi,488
dfxml-03,xml.schema_bytealigned_exi.gz,361
dfxml-03,xml.schema_bytealigned_exi.bz2,397
dfxml-03,xml.schema_bytealigned_exi.zip,523
dfxml-03,xml.schema_precompress_exi,488
dfxml-03,xml.schema_precompress_exi.gz,355
dfxml-03,xml.schema_precompress_exi.bz2,382
dfxml-03,xml.schema_precompress_exi.zip,517
dfxml-03,xml.schema_compress_exi,306
dfxml-03,xml.schema_compress_exi.gz,358
dfxml-03,xml.schema_compress_exi.bz2,468
dfxml-03,xml.schema_compress_exi.zip,512
dfxml-03,xml.strict_bitpacked_exi,398
dfxml-03,xml.strict_bitpacked_exi.gz,371
dfxml-03,xml.strict_bitpacked_exi.bz2,461
dfxml-03,xml.strict_bitpacked_exi.zip,531
dfxml-03,xml.strict_bytealigned_exi,464
dfxml-03,xml.strict_bytealigned_exi.gz,353
dfxml-03,xml.strict_bytealigned_exi.bz2,379
dfxml-03,xml.strict_bytealigned_exi.zip,515
dfxml-03,xml.strict_precompress_exi,464
dfxml-03,xml.strict_precompress_exi.gz,348
dfxml-03,xml.strict_precompress_exi.bz2,377
dfxml-03,xml.strict_precompress_exi.zip,510
dfxml-03,xml.strict_compress_exi,298
dfxml-03,xml.strict_compress_exi.gz,350
dfxml-03,xml.strict_compress_exi.bz2,457
dfxml-03,xml.strict_compress_exi.zip,504
dfxml-04,xml,3717
dfxml-04,xml.gz,1320
dfxml-04,xml.bz2,1536
dfxml-04,xml.zip,1465
dfxml-04,xml.bitpacked_exi,1824
dfxml-04,xml.bitpacked_exi.gz,1715
dfxml-04,xml.bitpacked_exi.bz2,1945
dfxml-04,xml.bitpacked_exi.zip,1868
